,antecedents,consequents,support,confidence
0,,,,
1,"frozenset({'white (-0.084,5]'})","frozenset({'asian (-0.049,0]'})",0.179487179,0.823529412
2,"frozenset({'crimes (105,313]'})","frozenset({'black (-0.097,24]'})",0.153846154,0.923076923
3,"frozenset({'crimes (451,548]'})","frozenset({'black (-0.097,24]'})",0.153846154,0.923076923
4,,,,
5,frozenset({'other 3'}),"frozenset({'black (-0.097,24]'})",0.153846154,0.857142857
6,,,,
7,"frozenset({'crimes (1.02e+03,1.56e+03]'})","frozenset({'black (24,97.1]'})",0.153846154,0.923076923
8,"frozenset({'crimes (1.56e+03,2.76e+03]'})","frozenset({'black (24,97.1]'})",0.166666667,1
9,,,,
10,,,,
11,"frozenset({'hispanic (53.8,86.1]'})",frozenset({'hospital 0'}),0.179487179,0.875
12,"frozenset({'white (13,30.6]'})",frozenset({'hospital 0'}),0.166666667,1
13,"frozenset({'hospital 0', 'asian (-0.049,0]'})","frozenset({'black (24,97.1]'})",0.166666667,0.866666667
14,"frozenset({'white (-0.084,5]', 'asian (-0.049,0]'})","frozenset({'black (24,97.1]'})",0.166666667,0.928571429
15,"frozenset({'white (-0.084,5]', 'black (24,97.1]'})","frozenset({'asian (-0.049,0]'})",0.166666667,0.8125
16,"frozenset({'hospital 0', 'hispanic (53.8,86.1]'})","frozenset({'black (-0.097,24]'})",0.179487179,1
17,"frozenset({'black (-0.097,24]', 'hispanic (53.8,86.1]'})",frozenset({'hospital 0'}),0.179487179,0.933333333
18,"frozenset({'hispanic (53.8,86.1]'})","frozenset({'hospital 0', 'black (-0.097,24]'})",0.179487179,0.875
